Time_Period,Clock,approach0_Charging_kW,approach0_Discharging_kW,shrinking_Charging_kW,shrinking_Discharging_kW,receding_Charging_kW,receding_Discharging_kW
76,02:45,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
77,03:00,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
78,03:15,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
79,03:30,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
80,03:45,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
81,04:00,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
82,04:15,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
83,04:30,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
84,04:45,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
85,05:00,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
86,05:15,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
87,05:30,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
88,05:45,2.877245026441694,0.0,2.8957631140996054,0.0,2.8957631140645534,0.0
89,06:00,2.877245026441694,0.0,2.895763114042295,0.0,2.895763114064583,0.0
90,06:15,2.877245026441694,0.0,2.8957631140995868,0.0,2.895763114064583,0.0
91,06:30,2.877245026441694,0.0,2.8957631140995868,0.0,2.895763114064583,0.0
92,06:45,2.877245026441694,0.0,2.8957631140995157,0.0,2.895763114064583,0.0
93,07:00,2.877245026441694,0.0,2.8957631140995335,0.0,2.895763114064583,0.0
94,07:15,2.877245026441694,0.0,2.8957631140995512,0.0,2.895763114064583,0.0
95,07:30,2.877245026441694,0.0,2.8957631140996285,0.0,2.8957631140644335,0.0
96,07:45,2.877245026441694,0.0,2.8957631140996165,0.0,2.8957631140646733,0.0
