params,run_id,macro_acc,net_weighted_accuracy,avg_prod,stopped_early,stop_reason,videos_evaluated,total_videos,video_details
"{'min_activity_duration_s': 2.0, 'dist_threshold': 0.5, 'idle_window': 40, 'fsm_min_dwell_seconds': 2.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_10531,0.7930978965048299,0.7931480819166951,172.15020393737757,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7510457107075768, 'prod': 225.2641987516223, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8051318314981312, 'prod': 69.43567731347052, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8231161473087819, 'prod': 221.75073574703987, 'len': 17670}]"
"{'min_activity_duration_s': 2.0, 'dist_threshold': 0.5, 'idle_window': 40, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_10535,0.7930978965048299,0.7931480819166951,172.15020393737757,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7510457107075768, 'prod': 225.2641987516223, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8051318314981312, 'prod': 69.43567731347052, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8231161473087819, 'prod': 221.75073574703987, 'len': 17670}]"
"{'min_activity_duration_s': 2.0, 'dist_threshold': 0.5, 'idle_window': 40, 'fsm_min_dwell_seconds': 3.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_10539,0.7930978965048299,0.7931480819166951,172.15020393737757,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7510457107075768, 'prod': 225.2641987516223, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8051318314981312, 'prod': 69.43567731347052, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8231161473087819, 'prod': 221.75073574703987, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.4, 'idle_window': 30, 'fsm_min_dwell_seconds': 1.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_8503,0.7963999571838619,0.7931269325056363,202.09100927285792,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7537257357545397, 'prod': 287.8197997775306, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8035761187998788, 'prod': 78.27257934800906, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8318980169971671, 'prod': 240.18064869303407, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.4, 'idle_window': 30, 'fsm_min_dwell_seconds': 1.5, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_8507,0.7963999571838619,0.7931269325056363,202.09100927285792,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7537257357545397, 'prod': 287.8197997775306, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8035761187998788, 'prod': 78.27257934800906, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8318980169971671, 'prod': 240.18064869303407, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.4, 'idle_window': 30, 'fsm_min_dwell_seconds': 2.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_8511,0.7963999571838619,0.7931269325056363,202.09100927285792,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7537257357545397, 'prod': 287.8197997775306, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8035761187998788, 'prod': 78.27257934800906, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8318980169971671, 'prod': 240.18064869303407, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.4, 'idle_window': 30, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_8515,0.7963999571838619,0.7931269325056363,202.09100927285792,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7537257357545397, 'prod': 287.8197997775306, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8035761187998788, 'prod': 78.27257934800906, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8318980169971671, 'prod': 240.18064869303407, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.4, 'idle_window': 30, 'fsm_min_dwell_seconds': 3.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_8519,0.7963999571838619,0.7931269325056363,202.09100927285792,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7537257357545397, 'prod': 287.8197997775306, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8035761187998788, 'prod': 78.27257934800906, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8318980169971671, 'prod': 240.18064869303407, 'len': 17670}]"
"{'min_activity_duration_s': 4.0, 'dist_threshold': 0.5, 'idle_window': 30, 'fsm_min_dwell_seconds': 1.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_17681,0.7937262171486924,0.7931099835625974,99.31760163009555,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7534877896055103, 'prod': 133.40744858254584, 'len': 83027}, {'video': 'Day_3', 'acc': 0.804234771189009, 'prod': 44.18324122647066, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8234560906515581, 'prod': 120.36211508127013, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.2, 'idle_window': 40, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_7833,0.7916209893342826,0.7931023783595774,133.2041068083628,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7672761427676894, 'prod': 183.37861200296368, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8007879583796343, 'prod': 58.70745404639548, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.806798866855524, 'prod': 157.52625437572928, 'len': 17670}]"
"{'min_activity_duration_s': 2.5, 'dist_threshold': 0.3, 'idle_window': 36, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_11773,0.7941932410466249,0.7930777952054915,118.6411230289291,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7746649968691296, 'prod': 141.91194657432598, 'len': 83027}, {'video': 'Day_3', 'acc': 0.7980563693302354, 'prod': 54.28861341924744, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8098583569405099, 'prod': 159.7228090932139, 'len': 17670}]"
