Metric,A1R,A2R
Total_Cost_USD,572.39,74.48
Total_Energy_Cost_USD,9.1,9.5
Total_CO2_Cost_USD,0.34,0.41
NC_demand_charge_USD,42.96,54.58
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,500.0,0.0
Travel_Labour_USD,20.0,10.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,28.35,29.84
Total_CO2_Emissions_kg,6.76,8.11
NCD_Peak_kW,2.13,2.71
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.25,0.0
MCS_Transit_hour,1.0,0.5
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,329.25,21970.49
