tag,backbone,stride,ssl_on,unfreeze_mode,lr_mode,label_smoothing,seed,best_val_loss,best_val_acc,epochs_run,checkpoint_path
r3d_18_stride1_sslFalse_progressive_layerwise_ls0.05_seed42,r3d_18,1,False,progressive,layerwise,0.05,42,1.2123899323943366,59.26456216904161,19,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride1_sslFalse_progressive_layerwise_ls0.05_seed42.pth
r3d_18_stride1_sslFalse_progressive_layerwise_ls0.15_seed42,r3d_18,1,False,progressive,layerwise,0.15,42,1.2323278503519186,60.65316697347788,19,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride1_sslFalse_progressive_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride1_sslTrue_full_flat_ls0.05_seed42,r2plus1d_18,1,True,full,flat,0.05,42,1.1619525099528902,64.7485284425354,7,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_full_flat_ls0.05_seed42.pth
r2plus1d_18_stride1_sslTrue_full_flat_ls0.15_seed42,r2plus1d_18,1,True,full,flat,0.15,42,1.2213695792322177,64.04172632440172,5,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_full_flat_ls0.15_seed42.pth
r2plus1d_18_stride1_sslTrue_full_layerwise_ls0.05_seed42,r2plus1d_18,1,True,full,layerwise,0.05,42,1.2837264708005764,60.93270607486193,6,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_full_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride1_sslTrue_full_layerwise_ls0.15_seed42,r2plus1d_18,1,True,full,layerwise,0.15,42,1.220270101207134,62.64630349310243,4,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_full_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride1_sslTrue_progressive_flat_ls0.05_seed42,r2plus1d_18,1,True,progressive,flat,0.05,42,1.2239324780654448,62.31903820367719,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_progressive_flat_ls0.05_seed42.pth
r2plus1d_18_stride1_sslTrue_progressive_flat_ls0.15_seed42,r2plus1d_18,1,True,progressive,flat,0.15,42,1.2496530969035466,61.89632053816959,20,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_progressive_flat_ls0.15_seed42.pth
r2plus1d_18_stride1_sslTrue_progressive_layerwise_ls0.05_seed42,r2plus1d_18,1,True,progressive,layerwise,0.05,42,1.3293328143253085,60.24863071293834,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_progressive_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride1_sslTrue_progressive_layerwise_ls0.15_seed42,r2plus1d_18,1,True,progressive,layerwise,0.15,42,1.3793315669844979,58.91229744778528,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslTrue_progressive_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride1_sslFalse_full_flat_ls0.05_seed42,r2plus1d_18,1,False,full,flat,0.05,42,1.2044112915648773,63.58491852457898,6,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_full_flat_ls0.05_seed42.pth
r2plus1d_18_stride1_sslFalse_full_flat_ls0.15_seed42,r2plus1d_18,1,False,full,flat,0.15,42,1.2012238819727408,64.66671212017908,6,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_full_flat_ls0.15_seed42.pth
r2plus1d_18_stride1_sslFalse_full_layerwise_ls0.05_seed42,r2plus1d_18,1,False,full,layerwise,0.05,42,1.1779436359570565,65.81214063316743,7,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_full_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride1_sslFalse_full_layerwise_ls0.15_seed42,r2plus1d_18,1,False,full,layerwise,0.15,42,1.1950307913738034,64.97579600463625,5,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_full_layerwise_ls0.15_seed42.pth
r2plus1d_18_stride1_sslFalse_progressive_flat_ls0.05_seed42,r2plus1d_18,1,False,progressive,flat,0.05,42,1.2431250682469321,60.364537169609775,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_progressive_flat_ls0.05_seed42.pth
r2plus1d_18_stride1_sslFalse_progressive_flat_ls0.15_seed42,r2plus1d_18,1,False,progressive,flat,0.15,42,1.2426770433699883,63.06447580736801,24,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_progressive_flat_ls0.15_seed42.pth
r2plus1d_18_stride1_sslFalse_progressive_layerwise_ls0.05_seed42,r2plus1d_18,1,False,progressive,layerwise,0.05,42,1.2228135565639,63.46901206790755,24,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_progressive_layerwise_ls0.05_seed42.pth
r2plus1d_18_stride1_sslFalse_progressive_layerwise_ls0.15_seed42,r2plus1d_18,1,False,progressive,layerwise,0.15,42,1.2862689923580142,60.98270493852412,19,/data/shubhan_avik_work/Trial4/resnet3d_r2plus1d_18_stride1_sslFalse_progressive_layerwise_ls0.15_seed42.pth
r3d_18_stride2_sslTrue_full_flat_ls0.05_seed42,r3d_18,2,True,full,flat,0.05,42,1.192834693161873,63.1122019954092,11,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_full_flat_ls0.05_seed42.pth
r3d_18_stride2_sslTrue_full_flat_ls0.15_seed42,r3d_18,2,True,full,flat,0.15,42,1.1934412021788248,65.06215767823458,10,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_full_flat_ls0.15_seed42.pth
r3d_18_stride2_sslTrue_full_layerwise_ls0.05_seed42,r3d_18,2,True,full,layerwise,0.05,42,1.200993008192137,58.732756073725604,8,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_full_layerwise_ls0.05_seed42.pth
r3d_18_stride2_sslTrue_full_layerwise_ls0.15_seed42,r3d_18,2,True,full,layerwise,0.15,42,1.2804927754268325,59.29183427649372,13,/data/shubhan_avik_work/Trial4/resnet3d_r3d_18_stride2_sslTrue_full_layerwise_ls0.15_seed42.pth
