Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
45,19:00,0.0,25.449852990430628,0.0,,Idle,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
46,19:15,0.0,25.449852990430628,0.0,,Traveling,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
47,19:30,0.0,25.449852990430628,0.0,,Idle,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
48,19:45,0.0,25.449852990430628,0.0,,Idle,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
49,20:00,0.0,25.449852990430628,0.0,,Idle,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
50,20:15,0.0,25.449852990430628,0.0,,Idle,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
51,20:30,0.0,25.449852990430628,0.0,,Idle,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
52,20:45,0.0,25.449852990430628,0.0,,Idle,0.0,25.64842035954271,0.0,,Idle,0.19856736911208017
53,21:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
54,21:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
55,21:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
56,21:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
57,22:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
58,22:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
59,22:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
60,22:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,25.64842035954271,0.0,,Charging (grid),0.19856736911208017
