Metric,approach0,shrinking,receding
Total_Cost_USD,316.21,193.85,193.85
Total_Energy_Cost_USD,10.08,10.14,10.14
Total_CO2_Cost_USD,0.43,0.43,0.43
NC_demand_charge_USD,57.91,58.28,58.28
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,125.0,125.0,125.0
Terminal_Shortfall_Penalty_USD,122.79,0.0,0.0
Total_Grid_Energy_kWh,31.66,31.86,31.86
Total_CO2_Emissions_kg,8.6,8.66,8.66
NCD_Peak_kW,2.88,2.9,2.9
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,0.5,0.5,0.5
Terminal_SOE_Shortfall_kWh,0.261,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,10.74,427.09,1065.1
