Time_Period,MCS_1_A0_kWh,MCS_1_A2R_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.0
5,248.6724376731308,250.0
6,246.56717451523605,247.89473684210526
7,246.56717451523605,247.89473684210526
8,246.56717451523605,247.89473684210526
9,244.4619113573413,247.89473684210526
10,244.4619113573413,248.3745088563096
11,244.78466066481974,248.91339845719398
12,245.2587824225634,248.91339845719398
13,245.73290418030706,248.91339845719398
14,246.20702593805072,248.91339845719398
15,246.68114769579438,248.91339845719398
16,247.15526945353804,247.45957777435729
17,247.6293912112817,247.45957777435729
18,248.10351296902536,247.45957777435729
19,248.57763472676902,245.35431461646255
20,249.05175648451268,243.2490514585678
21,249.52587824225634,241.14378830067307
22,250.0,239.03852514277833
23,250.0,239.03852514277833
24,247.89473684210526,239.03852514277833
25,245.78947368421052,239.03852514277833
26,245.78947368421052,239.03852514277833
27,245.78947368421052,239.03852514277833
28,245.78947368421052,239.03852514277833
29,243.68421052631578,239.03852514277833
30,243.68421052631578,236.9332619848836
31,243.68421052631578,236.9332619848836
32,243.68421052631578,236.9332619848836
33,243.68421052631578,236.9332619848836
34,241.57894736842104,236.9332619848836
35,241.57894736842104,236.9332619848836
36,241.57894736842104,234.82799882698885
37,241.57894736842104,234.82799882698885
38,239.4736842105263,232.7227356690941
39,237.36842105263156,230.61747251119937
40,235.26315789473682,228.51220935330463
41,235.26315789473682,226.4069461954099
42,233.15789473684208,225.8127726565728
43,231.05263157894734,225.8127726565728
44,231.05263157894734,225.8127726565728
45,229.13864265927918,225.8127726565728
46,229.13864265927918,225.8127726565728
47,229.13864265927918,225.8127726565728
48,229.13864265927918,225.8127726565728
49,229.13864265927918,225.8127726565728
50,229.13864265927918,225.8127726565728
51,229.13864265927918,225.8127726565728
52,229.13864265927918,225.8127726565728
53,229.13864265927918,225.8127726565728
54,229.61276441702285,226.36248236892342
55,230.0868861747665,226.91219208127404
56,230.56100793251017,227.46190179362466
57,231.03512969025383,228.01161150597528
58,231.50925144799749,228.5613212183259
59,231.98337320574115,229.11103093067652
60,232.4574949634848,229.66074064302714
61,232.93161672122847,230.21045035537776
62,233.40573847897213,230.76016006772838
63,233.87986023671579,231.309869780079
64,234.35398199445945,231.85957949242962
65,234.8281037522031,232.40928920478024
66,235.30222550994677,232.95899891713086
67,235.77634726769043,233.50870862948148
68,236.25046902543409,234.0584183418321
69,236.72459078317775,234.6081280541827
70,237.1987125409214,235.15783776653333
71,237.67283429866507,235.70754747888395
72,238.14695605640873,236.25725719123457
73,238.6210778141524,236.8069669035852
74,239.09519957189605,237.3566766159358
75,239.5693213296397,237.90638632828643
76,240.04344308738337,238.45609604063705
77,240.51756484512703,239.00580575298767
78,240.9916866028707,239.5555154653383
79,241.46580836061435,240.1052251776889
80,241.939930118358,240.65493489003953
81,242.41405187610167,241.20464460239015
82,242.88817363384533,241.75435431474077
83,243.362295391589,242.30406402709139
84,243.83641714933265,242.853773739442
85,244.3105389070763,243.40348345179262
86,244.78466066481997,243.95319316414324
87,245.25878242256363,244.50290287649386
88,245.7329041803073,245.05261258884448
89,246.20702593805095,245.6023223011951
90,246.6811476957946,246.15203201354566
91,247.15526945353827,246.70174172589628
92,247.62939121128193,247.25145143824687
93,248.1035129690256,247.8011611505975
94,248.57763472676925,248.3508708629481
95,249.0517564845129,248.90058057529873
96,249.52587824225634,249.45029028764938
97,250.0,250.0
