Time_Period,MCS_1_A0_kWh,MCS_1_A1R_kWh,MCS_1_A2R_kWh
1,250.0,250.0,250.0
2,247.5,247.5,247.5
3,247.5,247.5,247.5
4,247.5,247.5,247.5
5,247.5,247.5,245.78269234799268
6,245.39473684210526,246.57013919250443,245.78269234799268
7,245.39473684210526,246.57013919250446,245.78269234799268
8,243.28947368421055,246.57013919250446,243.67742919009794
9,243.28947368421055,244.93020607634577,243.67742919009794
10,243.28947368421055,244.93020607634577,243.67742919009794
11,243.28947368421052,242.94032629527715,243.67742919009794
12,243.28947368421052,242.94032629527715,241.8361294324456
13,242.1022894736842,242.94032629527715,239.73310913893786
14,239.99702631578947,242.94032629527715,239.73310913893786
15,239.99702631578947,240.90221309689107,239.73310913893786
16,239.99702631578947,240.90221309689107,239.73310913893786
17,239.99702631578947,240.90221309689107,239.73310913893786
18,239.99702631578947,240.90221309689107,239.73310913893786
19,239.99702631578947,240.90221309689107,237.62784598104312
20,239.99702631578947,240.90221309689107,237.62784598104312
21,239.99702631578947,240.90221309689107,235.52258282314838
22,239.15492105263158,240.37928249315954,235.52258282314838
23,237.04965789473684,238.2740193352648,235.52258282314838
24,234.9443947368421,236.16875617737006,233.57766072461308
25,232.83913157894736,234.06349301947532,233.57766072461305
26,232.83913157894736,234.06349301947532,233.57766072461305
27,232.83913157894736,234.06349301947532,233.57766072461305
28,232.83913157894736,234.06349301947532,231.4723975667183
29,232.83913157894736,234.06349301947532,231.4723975667183
30,230.8415789473684,231.95822986158058,231.4723975667183
31,230.8415789473684,231.95822986158058,231.4723975667183
32,230.8415789473684,231.95822986158058,231.4723975667183
33,230.8415789473684,231.95822986158058,229.36713440882357
34,230.8415789473684,230.71981449242097,229.36713440882357
35,228.73631578947365,230.71981449242097,229.36713440882357
36,228.73631578947368,230.66370268772184,229.36713440882357
37,228.73631578947368,230.66370268772184,227.26187125092883
38,226.63105263157894,230.66370268772184,225.1566080930341
39,224.52578947368423,229.82159742456392,223.05134493513935
40,222.4205263157895,227.71633426666918,222.6200517989785
41,219.9205263157895,227.71633426666918,222.6200517989785
42,219.9205263157895,225.61107110877444,220.1200517989785
43,219.9205263157895,225.61107110877444,220.1200517989785
44,219.9205263157895,223.50580795087973,220.1200517989785
45,219.9205263157895,221.0058079508797,220.1200517989785
46,219.9205263157895,221.0058079508797,220.1200517989785
47,219.9205263157895,221.0058079508797,220.1200517989785
48,219.9205263157895,221.0058079508797,220.1200517989785
49,219.9205263157895,221.0058079508797,220.1200517989785
50,219.92052631578946,221.0058079508797,220.1200517989785
51,219.92052631578946,221.0058079508797,220.1200517989785
52,219.92052631578946,221.0058079508797,220.1200517989785
53,219.9205263157895,221.0058079508797,220.1200517989785
54,220.60415071770333,221.66476686108697,220.7991415308199
55,221.2877751196172,222.32372577129425,221.4782312626613
56,221.97139952153108,222.98268468150152,222.1573209945027
57,222.65502392344496,223.64164359170883,222.8364107263441
58,223.33864832535883,224.30060250191613,223.51550045818547
59,224.0222727272727,224.95956141212343,224.19459019002687
60,224.70589712918658,225.61852032233074,224.87367992186824
61,225.38952153110046,226.27747923253804,225.55276965370965
62,226.07314593301433,226.93643814274535,226.23185938555102
63,226.7567703349282,227.59539705295265,226.91094911739242
64,227.44039473684208,228.25435596315995,227.5900388492338
65,228.12401913875595,228.9133148733674,228.26912858107562
66,228.80764354066983,229.57227378357484,228.94821831291742
67,229.4912679425837,230.2312326937823,229.62730804475925
68,230.17489234449758,230.89019160398973,230.30639777660105
69,230.85851674641145,231.54915051419718,230.98548750844287
70,231.54214114832533,232.20810942440463,231.66457724028467
71,232.22576555023926,232.86706833461207,232.3436669721265
72,232.9093899521531,233.52602724481952,233.0227567039683
73,233.59301435406698,234.18498615502696,233.70184643581013
74,234.27663875598085,234.8439450652344,234.38093616765192
75,234.96026315789473,235.50290397544185,235.06002589949375
76,235.6438875598086,236.1618628856493,235.73911563133555
77,236.32751196172248,236.82082179585674,236.41820536317738
78,237.01113636363635,237.4797807060642,237.09729509501918
79,237.69476076555023,238.13873961627164,237.776384826861
80,238.3783851674641,238.79769852647908,238.4554745587028
81,239.06200956937798,239.45665743668653,239.13456429054463
82,239.74563397129185,240.11561634689397,239.81365402238643
83,240.42925837320573,240.77457525710142,240.49274375422826
84,241.1128827751196,241.43353416730886,241.17183348607006
85,241.79650717703348,242.0924930775163,241.85092321791188
86,242.48013157894735,242.75145198772375,242.53001294975368
87,243.16375598086123,243.41041089793117,243.2091026815955
88,243.8473803827751,244.0693698081386,243.8881924134373
89,244.53100478468897,244.728328718346,244.56728214527914
90,245.21462918660285,245.3872876285481,245.2463718771073
91,245.89825358851672,246.04624653875553,245.92546160894912
92,246.58187799043057,246.70520544896294,246.60455134079092
93,247.26550239234444,247.36416435917036,247.28364107263275
94,247.94912679425835,248.02312326937772,247.96273080447455
95,248.63275119617222,248.68208217958517,248.64182053631637
96,249.3163755980861,249.34104108979255,249.3209102681582
97,250.0,250.0,250.0
