min_activity_duration_s,dist_threshold,idle_window,fsm_min_dwell_seconds,enable_fsm,override_travelling_only,accuracy_percent,cycles_per_hr,productivity_lcy_hr,run_folder
1.0,0.05,20,1.0,True,True,32.48,185.08,279.44,Run_00001
1.0,0.05,20,1.0,True,False,35.28,196.72,298.54,Run_00002
1.0,0.05,20,1.0,False,True,32.42,263.26,395.86,Run_00003
1.0,0.05,20,1.0,False,False,35.62,272.35,411.52,Run_00004
1.0,0.05,20,2.0,True,True,32.54,143.27,216.27,Run_00005
1.0,0.05,20,2.0,True,False,35.25,148.36,225.11,Run_00006
1.0,0.05,20,2.0,False,True,32.42,263.26,395.86,Run_00007
1.0,0.05,20,2.0,False,False,35.62,272.35,411.52,Run_00008
1.0,0.05,20,3.0,True,True,31.54,120.72,182.30,Run_00009
1.0,0.05,20,3.0,True,False,34.26,125.09,190.12,Run_00010
1.0,0.05,20,3.0,False,True,32.42,263.26,395.86,Run_00011
1.0,0.05,20,3.0,False,False,35.62,272.35,411.52,Run_00012
1.0,0.05,30,1.0,True,True,32.05,185.45,279.99,Run_00013
1.0,0.05,30,1.0,True,False,34.43,189.08,286.95,Run_00014
1.0,0.05,30,1.0,False,True,31.96,262.53,394.77,Run_00015
1.0,0.05,30,1.0,False,False,34.83,263.63,398.33,Run_00016
1.0,0.05,30,2.0,True,True,32.07,143.63,216.82,Run_00017
1.0,0.05,30,2.0,True,False,34.29,146.54,222.35,Run_00018
1.0,0.05,30,2.0,False,True,31.96,262.53,394.77,Run_00019
1.0,0.05,30,2.0,False,False,34.83,263.63,398.33,Run_00020
1.0,0.05,30,3.0,True,True,30.89,120.36,181.75,Run_00021
1.0,0.05,30,3.0,True,False,33.36,125.45,190.42,Run_00022
1.0,0.05,30,3.0,False,True,31.96,262.53,394.77,Run_00023
1.0,0.05,30,3.0,False,False,34.83,263.63,398.33,Run_00024
1.0,0.05,40,1.0,True,True,31.97,185.81,280.54,Run_00025
1.0,0.05,40,1.0,True,False,34.14,187.63,284.75,Run_00026
1.0,0.05,40,1.0,False,True,31.86,262.90,395.31,Run_00027
1.0,0.05,40,1.0,False,False,34.42,261.08,394.48,Run_00028
1.0,0.05,40,2.0,True,True,32.01,143.99,217.37,Run_00029
1.0,0.05,40,2.0,True,False,34.21,146.54,222.35,Run_00030
1.0,0.05,40,2.0,False,True,31.86,262.90,395.31,Run_00031
1.0,0.05,40,2.0,False,False,34.42,261.08,394.48,Run_00032
1.0,0.05,40,3.0,True,True,30.87,119.27,180.11,Run_00033
1.0,0.05,40,3.0,True,False,33.20,123.27,187.11,Run_00034
1.0,0.05,40,3.0,False,True,31.86,262.90,395.31,Run_00035
1.0,0.05,40,3.0,False,False,34.42,261.08,394.48,Run_00036
1.0,0.05,50,1.0,True,True,31.81,185.45,279.99,Run_00037
1.0,0.05,50,1.0,True,False,33.63,186.90,283.64,Run_00038
1.0,0.05,50,1.0,False,True,31.64,262.90,395.31,Run_00039
1.0,0.05,50,1.0,False,False,33.91,260.35,393.39,Run_00040
1.0,0.05,50,2.0,True,True,31.83,143.99,217.37,Run_00041
1.0,0.05,50,2.0,True,False,33.70,146.18,221.80,Run_00042
1.0,0.05,50,2.0,False,True,31.64,262.90,395.31,Run_00043
1.0,0.05,50,2.0,False,False,33.91,260.35,393.39,Run_00044
1.0,0.05,50,3.0,True,True,30.80,118.90,179.56,Run_00045
1.0,0.05,50,3.0,True,False,32.84,122.18,185.45,Run_00046
1.0,0.05,50,3.0,False,True,31.64,262.90,395.31,Run_00047
1.0,0.05,50,3.0,False,False,33.91,260.35,393.39,Run_00048
1.0,0.05,60,1.0,True,True,31.77,185.08,279.44,Run_00049
1.0,0.05,60,1.0,True,False,33.52,186.17,282.54,Run_00050
1.0,0.05,60,1.0,False,True,31.63,262.90,395.31,Run_00051
1.0,0.05,60,1.0,False,False,33.73,259.99,392.84,Run_00052
1.0,0.05,60,2.0,True,True,31.84,143.27,216.27,Run_00053
1.0,0.05,60,2.0,True,False,33.65,144.72,219.59,Run_00054
1.0,0.05,60,2.0,False,True,31.63,262.90,395.31,Run_00055
1.0,0.05,60,2.0,False,False,33.73,259.99,392.84,Run_00056
1.0,0.05,60,3.0,True,True,30.90,118.18,178.46,Run_00057
1.0,0.05,60,3.0,True,False,32.81,121.09,183.80,Run_00058
1.0,0.05,60,3.0,False,True,31.63,262.90,395.31,Run_00059
