Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh,MCS_1_A1R_kWh,MCS_1_A2R_kWh
1,250.0,250.0,250.0,250.0,250.0
2,250.0,250.0,247.5,250.0,247.5
3,250.0,247.5,247.5,250.0,247.5
4,250.0,245.39473684210526,247.5,247.50000000000014,247.5
5,250.0,245.39473684210526,247.4999999999999,247.50000000000014,247.5
6,250.0,245.39473684210526,245.39473684210515,247.50000000000014,245.95800607149215
7,250.0,245.39473684210526,245.39473684210515,247.50000000000014,245.95800607149215
8,250.0,243.28947368421052,245.39473684210515,245.67281822957824,245.95800607149215
9,250.0,243.28947368421055,245.39473684210515,245.67281822957824,243.8527429135974
10,250.0,243.28947368421055,245.39473684210515,245.67281822957824,243.8527429135974
11,250.0,243.28947368421055,244.419942523573,245.67281822957824,243.8527429135974
12,250.0,243.28947368421055,244.4199425236369,245.67281822957824,243.8527429135974
13,250.0,241.1842105263158,244.4199425236369,243.5675550716835,241.74747975570273
14,250.0,241.1842105263158,244.4199425236369,243.5675550716835,241.74747975570273
15,247.5,241.1842105263158,244.4199425236369,243.5675550716835,241.74747975570273
16,245.39473684210526,241.1842105263158,243.5946484587337,243.5675550716835,241.74747975570273
17,245.39473684210526,241.18421052631575,243.5946484587337,243.5675550716835,241.74747975570273
18,243.28947368421055,239.078947368421,243.5946484587337,243.50767693407929,239.642216597808
19,241.1842105263158,236.97368421052627,241.48938530083896,241.40241377618455,237.53695343991325
20,239.0789473684211,236.9736842105263,239.38412214294422,241.40241377618455,237.53695343991325
21,236.97368421052636,236.9736842105263,239.38412214294422,239.60354535513193,237.53695343991325
22,234.86842105263165,234.86842105263156,237.27885898504948,237.4982821972372,237.53695343991325
23,234.12905263157901,234.86842105263156,236.46034001720824,235.4275716709214,235.4316902820185
24,234.12905263157901,232.76315789473682,234.3550768593135,233.32230851302666,235.4316902820185
25,234.12905263157901,232.76315789473685,232.24981370141876,231.21704535513192,233.32642712412377
26,234.12905263157901,232.76315789473685,232.24981370141876,231.21704535513192,233.3264271241238
27,234.12905263157901,232.7631578947369,232.24981370141876,231.21704535513192,233.3264271241238
28,234.12905263157901,230.6578947368422,232.24981370141876,229.14299916833735,233.3264271241238
29,234.12905263157901,230.6578947368422,232.24981370141876,229.14299916833735,233.3264271241238
30,232.0237894736843,230.65789473684222,230.14455054352402,228.67523776194102,231.22116396622906
31,232.0237894736843,230.65789473684222,230.14455054352402,228.67523776194105,231.22116396622906
32,232.0237894736843,230.65789473684222,230.14455054352402,228.67523776194105,231.22116396622906
33,232.0237894736843,228.70588994125956,230.14455054352402,226.60062678336485,231.22116396622906
34,232.0237894736843,228.70588994125958,230.14455054352402,226.60062678336487,229.11590080833432
35,229.91852631578956,228.70588994125958,228.03928738562928,226.60062678336487,229.11590080833435
36,229.91852631578956,228.70588994125958,225.93402422773457,226.60062678336487,227.0106376504396
37,229.91852631578956,228.70588994125958,225.93402422773457,226.60062678336487,227.0106376504396
38,227.81326315789485,226.60062678336485,223.82876106983983,226.4376394368521,224.90537449254487
39,225.7080000000001,224.4953636254701,222.2271131210625,224.33237627895735,222.80011133465013
40,223.6027368421054,222.39010046757537,219.7271131210625,222.22711312106262,222.22711312106247
41,222.42052631578957,222.2271131210626,219.7271131210625,222.22711312106262,219.72711312106247
42,219.92052631578957,219.7271131210626,219.7271131210625,222.22711312106262,219.72711312106247
43,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
44,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
45,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
46,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
47,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
48,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
49,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
50,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
51,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
52,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
53,219.92052631578957,219.7271131210626,219.7271131210625,219.72711312106262,219.72711312106247
54,220.60415071770342,220.41513327740208,220.415133277402,220.4151332774021,220.41513327740196
55,221.2877751196173,221.10315343374157,221.10315343374148,221.1031534337416,221.10315343374145
56,221.97139952153114,221.79117359008106,221.79117359008097,221.7911735900811,221.79117359008094
57,222.65502392344501,222.47919374642055,222.47919374642046,222.47919374642058,222.47919374642044
58,223.33864832535886,223.16721390276004,223.16721390275995,223.16721390276007,223.16721390275993
59,224.02227272727274,223.85523405909953,223.85523405909944,223.85523405909956,223.85523405909942
60,224.70589712918658,224.54325421543902,224.54325421543894,224.54325421543905,224.5432542154389
61,225.38952153110046,225.2312743717785,225.23127437177843,225.23127437177854,225.2312743717784
62,226.0731459330143,225.919294528118,225.91929452811792,225.91929452811803,225.9192945281179
63,226.75677033492818,226.6073146844575,226.6073146844574,226.60731468445752,226.60731468445738
64,227.44039473684205,227.29533484079698,227.2953348407969,227.295334840797,227.29533484079687
65,228.12401913875593,227.9833549971363,227.9833549971363,227.9833549971363,227.98335499713636
66,228.80764354066977,228.67137515347576,228.67137515347576,228.67137515347576,228.67137515347585
67,229.49126794258365,229.35939530981526,229.35939530981526,229.35939530981526,229.35939530981534
68,230.1748923444975,230.04741546615475,230.04741546615475,230.04741546615475,230.04741546615483
69,230.85851674641137,230.73543562249424,230.73543562249424,230.73543562249424,230.73543562249432
