Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh,MCS_1_A1R_kWh,MCS_1_A2R_kWh
70,231.54214114832521,231.42345577883373,231.42345577883373,231.42345577883373,231.4234557788338
71,232.2257655502391,232.11147593517322,232.11147593517322,232.11147593517322,232.1114759351733
72,232.90938995215294,232.7994960915127,232.7994960915127,232.7994960915127,232.7994960915128
73,233.5930143540668,233.4875162478522,233.4875162478522,233.4875162478522,233.48751624785228
74,234.27663875598066,234.1755364041917,234.1755364041917,234.1755364041917,234.17553640419177
75,234.96026315789453,234.86355656053118,234.86355656053118,234.86355656053118,234.86355656053126
76,235.64388755980838,235.55157671687067,235.55157671687067,235.55157671687067,235.55157671687076
77,236.32751196172225,236.23959687321016,236.23959687321016,236.23959687321016,236.23959687321025
78,237.0111363636361,236.92761702954965,236.92761702954965,236.92761702954965,236.92761702954974
79,237.69476076554997,237.61563718588914,237.61563718588914,237.61563718588914,237.61563718588923
80,238.37838516746382,238.30365734222863,238.30365734222863,238.30365734222863,238.30365734222872
81,239.0620095693777,238.99167749856812,238.99167749856812,238.99167749856812,238.9916774985682
82,239.74563397129157,239.6796976549076,239.6796976549076,239.6796976549076,239.6796976549077
83,240.42925837320544,240.3677178112471,240.3677178112471,240.3677178112471,240.3677178112472
84,241.11288277511932,241.0557379675866,241.0557379675866,241.0557379675866,241.05573796758668
85,241.79650717703316,241.74375812392609,241.74375812392609,241.74375812392609,241.74375812392617
86,242.48013157894704,242.43177828026558,242.43177828026558,242.43177828026558,242.43177828026566
87,243.16375598086088,243.1197984366051,243.11979843660507,243.11979843660507,243.11979843660515
88,243.84738038277476,243.80781859294459,243.80781859294459,243.80781859294459,243.80781859294464
89,244.5310047846886,244.49583874928408,244.49583874928408,244.49583874928408,244.49583874928413
90,245.21462918660248,245.18385890562357,245.18385890562357,245.18385890562357,245.18385890562357
91,245.89825358851635,245.87187906196306,245.87187906196306,245.87187906196306,245.87187906196306
92,246.58187799043023,246.55989921830255,246.55989921830255,246.55989921830255,246.55989921830246
93,247.26550239234408,247.24791937464204,247.24791937464204,247.24791937464204,247.24791937464198
94,247.94912679425795,247.93593953098153,247.93593953098153,247.93593953098153,247.93593953098147
95,248.6327511961718,248.62395968732102,248.62395968732102,248.62395968732102,248.623959687321
96,249.31637559808613,249.3119798436605,249.3119798436605,249.3119798436605,249.31197984366048
97,250.0,250.0,250.0,250.0,250.0
