Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh,CEV_1_A1R_kWh,CEV_1_A2R_kWh
31,10.799796245400735,11.265054666624756,10.979747427848656,13.14857879278091,9.956964676278853
32,9.581664892189655,10.492070444196463,10.185237000973329,12.375594570352616,9.162454249403526
33,8.275291556113132,12.346475,8.994385447357288,14.346475,7.971602695787484
34,7.08444000249709,11.551964573124673,8.101801785909602,13.551964573124673,9.971602695787485
35,9.08444000249709,10.361113019508633,10.101801785909602,12.361113019508633,9.0790190343398
36,8.191856341049403,9.468529358060946,12.101801785909602,11.468529358060946,11.0790190343398
37,7.368489003801329,8.645162020812872,11.278434448661528,10.645162020812872,10.255651697091725
38,9.36848900380133,10.645162020812872,13.278434448661528,10.8,12.255651697091725
39,11.36848900380133,12.645162020812872,14.8,12.8,14.255651697091725
40,13.36848900380133,14.645162020812872,14.8,14.8,14.8
41,14.491589003801332,14.8,14.8,14.8,14.8
42,14.491589003801332,14.8,14.8,14.8,14.8
43,14.491589003801332,14.8,14.8,14.8,14.8
44,14.491589003801332,14.8,14.8,14.8,14.8
45,14.491589003801332,14.8,14.8,14.8,14.8
46,14.491589003801332,14.8,14.8,14.8,14.8
47,14.491589003801332,14.8,14.8,14.8,14.8
48,14.491589003801332,14.8,14.8,14.8,14.8
49,14.491589003801332,14.8,14.8,14.8,14.8
50,14.491589003801332,14.8,14.8,14.8,14.8
51,14.491589003801332,14.8,14.8,14.8,14.8
52,14.491589003801332,14.8,14.8,14.8,14.8
53,14.491589003801332,14.8,14.8,14.8,14.8
54,14.491589003801332,14.8,14.8,14.8,14.8
55,14.491589003801332,14.8,14.8,14.8,14.8
56,14.491589003801332,14.8,14.8,14.8,14.8
57,14.491589003801332,14.8,14.8,14.8,14.8
58,14.491589003801332,14.8,14.8,14.8,14.8
59,14.491589003801332,14.8,14.8,14.8,14.8
60,14.491589003801332,14.8,14.8,14.8,14.8
61,14.491589003801332,14.8,14.8,14.8,14.8
62,14.491589003801332,14.8,14.8,14.8,14.8
63,14.491589003801332,14.8,14.8,14.8,14.8
64,14.491589003801332,14.8,14.8,14.8,14.8
65,14.491589003801332,14.8,14.8,14.8,14.8
66,14.491589003801332,14.8,14.8,14.8,14.8
67,14.491589003801332,14.8,14.8,14.8,14.8
68,14.491589003801332,14.8,14.8,14.8,14.8
69,14.491589003801332,14.8,14.8,14.8,14.8
70,14.491589003801332,14.8,14.8,14.8,14.8
71,14.491589003801332,14.8,14.8,14.8,14.8
72,14.491589003801332,14.8,14.8,14.8,14.8
73,14.491589003801332,14.8,14.8,14.8,14.8
74,14.491589003801332,14.8,14.8,14.8,14.8
75,14.491589003801332,14.8,14.8,14.8,14.8
76,14.491589003801332,14.8,14.8,14.8,14.8
77,14.491589003801332,14.8,14.8,14.8,14.8
78,14.491589003801332,14.8,14.8,14.8,14.8
79,14.491589003801332,14.8,14.8,14.8,14.8
80,14.491589003801332,14.8,14.8,14.8,14.8
81,14.491589003801332,14.8,14.8,14.8,14.8
82,14.491589003801332,14.8,14.8,14.8,14.8
83,14.491589003801332,14.8,14.8,14.8,14.8
84,14.491589003801332,14.8,14.8,14.8,14.8
85,14.491589003801332,14.8,14.8,14.8,14.8
86,14.491589003801332,14.8,14.8,14.8,14.8
87,14.491589003801332,14.8,14.8,14.8,14.8
88,14.491589003801332,14.8,14.8,14.8,14.8
89,14.491589003801332,14.8,14.8,14.8,14.8
90,14.491589003801332,14.8,14.8,14.8,14.8
91,14.491589003801332,14.8,14.8,14.8,14.8
92,14.491589003801332,14.8,14.8,14.8,14.8
93,14.491589003801332,14.8,14.8,14.8,14.8
94,14.491589003801332,14.8,14.8,14.8,14.8
95,14.491589003801332,14.8,14.8,14.8,14.8
96,14.491589003801332,14.8,14.8,14.8,14.8
97,14.491589003801332,14.8,14.8,14.8,14.8
