Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8,14.8,14.8,14.8
2,13.60891587539222,13.60891587539222,13.60891587539222,13.60891587539222,13.60891587539222
3,12.361419709596555,12.361419709596555,12.361419709596555,13.60891587539222,12.361419709596555
4,11.202329912883966,14.361419709596557,11.202329912883966,12.361419709596555,11.599173261592762
5,10.0730518082198,13.202329912883968,10.073051808219896,11.202329912883966,10.440083464880173
6,10.0730518082198,12.073051808219802,12.073051808219896,10.0730518082198,11.90497769696262
7,8.788577318099192,12.073051808219802,10.788577318099287,8.788577318099192,10.620503206842011
8,7.704417693132112,14.073051808219802,9.704417693132209,10.5244,9.491225102177845
9,6.942171245128318,12.788577318099193,8.452399140040948,9.440240375032921,11.491225102177845
10,6.16497503790924,11.704417693132115,7.211293594083002,8.18822182194166,10.407065477210766
11,6.16497503790924,10.452399140040853,8.137348196688539,6.947116275983714,9.155046924119505
12,5.3919908154809475,9.211293594082907,6.942622554169806,5.752390633525652,7.913941378161559
13,4.26879744117459,11.211293594082907,5.819429179863449,7.752390633525652,9.913941378161503
14,4.26879744117459,10.016567951624843,4.6081108510425235,6.6291972592192945,8.790748003855146
15,3.474287014299263,8.893374577318486,3.4425540431312194,5.417878930398369,7.596022361397083
16,5.474287014299263,7.6820562484975605,4.226583404789267,4.252322122487065,6.384704032576158
17,4.222268461208001,6.516499440586257,3.4643369567854725,3.034190769275985,5.219147224664853
18,6.222268461208001,8.516499440586257,3.4643369567854725,3.091075000000001,7.219147224664853
19,8.222268461208001,10.516499440586257,5.4643369567854725,5.091075000000001,9.219147224664853
20,10.222268461208001,10.516499440586257,7.4643369567854725,5.091075000000001,9.219147224664853
21,12.222268461208001,10.516499440586257,7.4643369567854725,6.800000000000001,9.219147224664853
22,14.222268461208001,12.516499440586257,9.464336956785473,8.8,9.219147224664853
23,14.8,12.516499440586257,10.241929976234655,10.767175000000002,11.219147224664853
24,14.8,14.516499440586257,12.241929976234655,12.767175000000002,11.219147224664853
25,14.8,14.516499440586257,14.241929976234655,14.767175000000002,13.219147224664853
26,13.558894454042054,13.298368087375177,13.023798623023575,14.004928551996208,12.001015871453774
27,12.36416881158399,11.991994751298652,11.83630119357255,12.817431122545184,10.81351844200275
28,11.176671382132966,13.991994751298652,10.529927857496027,14.787775,10.036322234783672
29,9.96535305331204,12.804497321847627,9.75273165027695,13.481401663923474,8.729948898707146
30,11.96535305331204,12.042250873843834,11.75273165027695,13.925774999999987,10.729948898707146
