Time_Period,Clock,A0_Charging_kW,A0_Discharging_kW,A1S_Charging_kW,A1S_Discharging_kW,A2S_Charging_kW,A2S_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0,0.0,0.0
2,08:15,0.0,0.0,0.0,4.9234736842235085,0.0,0.0
3,08:30,0.0,8.0,0.0,4.132792360480239e-12,0.0,0.0
4,08:45,-0.0,0.0,0.0,-2.9642954757491036e-14,0.0,0.0
5,09:00,-0.0,0.0,0.0,0.0,0.0,8.0
6,09:15,-0.0,0.0,0.0,8.0,0.0,0.0
7,09:30,-0.0,8.0,0.0,8.000000000005013,0.0,8.0
8,09:45,-0.0,7.999999999999972,0.0,0.0,0.0,0.0
9,10:00,-0.0,0.0,0.0,0.0,0.0,0.0
10,10:15,-0.0,0.0,0.0,0.0,0.0,8.000000000000039
11,10:30,-0.0,0.0,0.0,0.0,0.0,0.0
12,10:45,-0.0,8.0,0.0,7.802975069264202,0.0,8.0
13,11:00,-0.0,0.0,0.0,0.0,0.0,0.0
14,11:15,-0.0,0.0,0.0,0.0,1.7747948338304116,0.0
15,11:30,-0.0,0.0,0.0,0.0,1.7842716425676912,0.0
16,11:45,-0.0,0.0,0.0,0.0,1.7948283400163212,0.0
17,12:00,-0.0,8.0,0.0,7.637001312108604,1.8049846235926759,0.0
18,12:15,-0.0,8.0,0.0,6.247736773046961,1.804984623592676,0.0
19,12:30,-0.0,0.0,0.0,0.0,1.811565976644588,0.0
20,12:45,1.9788970590799921,0.0,1.9465420647594232,0.0,1.859959903997029,0.0
21,13:00,1.9788970590799921,0.0,1.9465420647594232,0.0,1.859959903997029,0.0
22,13:15,1.9788970590799921,0.0,1.9465420647594232,0.0,1.859959903997029,0.0
23,13:30,1.9788970590799921,0.0,1.9465420647594232,0.0,0.0,0.0
24,13:45,1.9788970590799921,0.0,1.9465420647594232,0.0,0.0,8.0
25,14:00,1.9788970590799921,0.0,1.9465420647594232,0.0,0.0,0.0
26,14:15,1.9788970590799921,0.0,1.9489868274727977,0.0,0.0,0.0
27,14:30,1.9788970590799921,0.0,1.9489868274727977,0.0,0.0,0.0
28,14:45,1.9788970590799921,0.0,1.9489868274727977,0.0,0.0,0.0
29,15:00,1.9788970590799921,0.0,1.9489868274727977,0.0,0.0,8.0
