time,lambda_buy,intensity_tons_emissions
8:15,0.08,0.3
8:30,0.08,0.3
8:45,0.08,0.3
9:00,0.08,0.3
9:15,0.08,0.3
9:30,0.08,0.3
9:45,0.08,0.3
10:00,0.08,0.3
10:15,0.08,0.3
10:30,0.08,0.3
10:45,0.08,0.3
11:00,0.08,0.3
11:15,0.08,0.3
11:30,0.08,0.3
11:45,0.08,0.3
12:00,0.08,0.3
12:15,0.08,0.3
12:30,0.08,0.3
12:45,0.08,0.3
13:00,0.08,0.3
13:15,0.08,0.3
13:30,0.08,0.3
13:45,0.08,0.3
14:00,0.08,0.3
14:15,0.08,0.3
14:30,0.08,0.3
14:45,0.08,0.3
15:00,0.08,0.3
15:15,0.08,0.3
15:30,0.08,0.3
15:45,0.08,0.3
16:00,0.08,0.3
16:15,0.08,0.3
16:30,0.08,0.3
16:45,0.08,0.3
17:00,0.08,0.3
17:15,0.08,0.3
17:30,0.08,0.3
17:45,0.08,0.3
18:00,0.08,0.3
18:15,0.08,0.3
18:30,0.08,0.3
18:45,0.08,0.3
19:00,0.08,0.3
19:15,0.08,0.3
19:30,0.08,0.3
19:45,0.08,0.3
20:00,0.08,0.3
20:15,0.08,0.3
20:30,0.08,0.3
20:45,0.08,0.3
21:00,0.08,0.3
21:15,0.08,0.3
21:30,0.08,0.3
21:45,0.08,0.3
22:00,0.08,0.3
22:15,0.08,0.3
22:30,0.08,0.3
22:45,0.08,0.3
23:00,0.08,0.3
23:15,0.08,0.3
23:30,0.08,0.3
23:45,0.08,0.3
0:00,0.08,0.3
0:15,0.08,0.3
0:30,0.08,0.3
0:45,0.08,0.3
1:00,0.08,0.3
1:15,0.08,0.3
1:30,0.08,0.3
1:45,0.08,0.3
2:00,0.08,0.3
2:15,0.08,0.3
2:30,0.08,0.3
2:45,0.08,0.3
3:00,0.08,0.3
3:15,0.08,0.3
3:30,0.08,0.3
3:45,0.08,0.3
4:00,0.08,0.3
4:15,0.08,0.3
4:30,0.08,0.3
4:45,0.08,0.3
5:00,0.08,0.3
5:15,0.08,0.3
5:30,0.08,0.3
5:45,0.08,0.3
6:00,0.08,0.3
6:15,0.08,0.3
6:30,0.08,0.3
6:45,0.08,0.3
7:00,0.08,0.3
7:15,0.08,0.3
7:30,0.08,0.3
7:45,0.08,0.3
8:00,0.08,0.3
