Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.30264233159133,Digging,Traveling,0.0,0.0,5.30264233159133,Digging,Traveling,0.0,0.0,5.30264233159133,Digging,Idle,0.0,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,0.0,0.0,5.341593790671668,Digging,Idle,0.0,0.0,5.341593790671668,Digging,Traveling,-1.2611842105262925,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,5.341593790671668,Digging,Idle,-1.0467506848088126e-14,-2.6168767120220314e-15,5.311687106182523,Digging,Idle,0.0,0.0,5.311687106182523,Digging,Idle,-1.2611842105257645,-1.2611842105257618
4,08:45,0.0,1.2611842105257618,5.311687106182523,Digging,Idle,8.000000000000004,1.9999999999999982,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,0.7388157894742364,0.7388157894742382
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,0.0,1.9999999999999982,4.374301284916125,Digging,Idle,0.0,2.0,4.374301284916125,Digging,Idle,-1.2611842105257631,-1.2611842105257614
6,09:15,0.0,3.2611842105257614,4.374301284916125,Digging,Idle,0.0,1.9999999999999982,3.857620293545859,Traveling,Idle,5.64095826096656,3.41023956524164,0.0,Charging,Serving CEV,-1.2611842105257631,0.1490553547158786
7,09:30,0.0,3.2611842105257614,3.857620293545859,Traveling,Idle,7.999999999999894,3.9999999999999716,0.0,Charging,Serving CEV,0.0,3.41023956524164,3.857620293545859,Traveling,Traveling,0.7388157894742102,0.1490553547158786
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,3.799731375692251,4.949932843923034,0.0,Charging,Serving CEV,0.0,3.41023956524164,4.315963615822609,Digging,Idle,-0.31125136660272723,-1.8509446452841214
9,10:00,0.0,5.261184210525761,4.315963615822609,Digging,Traveling,0.0,4.949932843923034,4.315963615822609,Digging,Idle,0.0,3.41023956524164,4.164603327846952,Digging,Charging (grid),-0.31125136660272723,-1.8509446452841214
10,10:15,0.0,5.261184210525761,4.164603327846952,Digging,Charging (grid),0.0,4.949932843923034,4.164603327846952,Digging,Idle,0.0,3.41023956524164,4.102980436264462,Digging,Traveling,-0.31125136660272723,-1.8509446452841214
11,10:30,0.0,5.261184210525761,4.102980436264462,Digging,Charging (grid),6.357487635748265e-14,4.94993284392305,4.102980436264462,Digging,Idle,8.0,5.41023956524164,0.0,Charging,Serving CEV,-0.31125136660271124,0.1490553547158786
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,4.94993284392305,5.455984629626272,Digging,Idle,0.0,5.41023956524164,5.455984629626272,Digging,Idle,-0.31125136660271124,0.1490553547158786
13,11:00,0.0,5.261184210525761,5.455984629626272,Digging,Charging (grid),7.999999999999999,6.94993284392305,0.0,Charging,Serving CEV,0.0,5.41023956524164,3.741275989570092,Traveling,Idle,1.6887486333972888,0.1490553547158786
14,11:15,0.0,5.261184210525761,3.741275989570092,Traveling,Charging (grid),0.0,6.94993284392305,3.741275989570092,Traveling,Idle,0.0,5.41023956524164,4.21946122882601,Digging,Idle,1.6887486333972888,0.1490553547158786
15,11:30,0.0,5.261184210525761,4.21946122882601,Digging,Charging (grid),0.0,6.94993284392305,4.21946122882601,Digging,Idle,8.0,7.41023956524164,0.0,Charging,Serving CEV,1.6887486333972888,2.1490553547158786
16,11:45,0.0,5.261184210525761,4.362990937563483,Digging,Charging (grid),0.0,6.94993284392305,4.362990937563483,Digging,Idle,0.0,7.41023956524164,4.362990937563483,Digging,Idle,1.6887486333972888,2.1490553547158786
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),7.9999999999948415,8.949932843921761,0.0,Charging,Serving CEV,8.0,9.410239565241639,0.0,Charging,Serving CEV,3.688748633396,4.149055354715878
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),7.999999999999999,10.949932843921761,0.0,Charging,Serving CEV,8.0,11.410239565241639,0.0,Charging,Serving CEV,5.688748633396,6.149055354715878
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.949932843921761,0.0,Idle,Traveling,8.0,13.410239565241639,0.0,Charging,Serving CEV,5.688748633396,8.149055354715877
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.949932843921761,0.0,Idle,Charging (grid),0.9580491699587625,13.64975185773133,0.0,Charging,Serving CEV,5.688748633396,8.38856764720557
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.949932843921761,0.0,Idle,Charging (grid),0.0,13.64975185773133,0.0,Idle,Idle,5.688748633396,8.38856764720557
22,13:15,0.0,5.261184210525761,0.0,Idle,Traveling,0.0,10.949932843921761,0.0,Idle,Charging (grid),0.0,13.64975185773133,0.0,Idle,Idle,5.688748633396,8.38856764720557
