Metric,A0,A1S,A2S
Total_Cost_USD,68.54,68.21,69.24
Total_Energy_Cost_USD,8.97,8.01,8.17
Total_CO2_Cost_USD,0.33,0.32,0.33
NC_demand_charge_USD,39.24,39.88,40.74
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,20.0,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,27.79,26.47,26.41
Total_CO2_Emissions_kg,6.64,6.45,6.65
NCD_Peak_kW,1.95,1.98,2.02
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,1.0,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,14.29,101.35,11249.14
