Metric,A1S,A2S
Total_Discharge_kWh,23.636,23.636
Total_Work_kWh,23.636,23.636
N_Capped_Intervals,0,0
N_Infeasible_Windows,0,0
Missed_Work_hour,0.25,0.25
Missed_Work_Penalty_USD,500.0,500.0
