Time_Period,Clock,A0_Charging_kW,A0_Discharging_kW,A1S_Charging_kW,A1S_Discharging_kW,A2S_Charging_kW,A2S_Discharging_kW
75,02:30,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
76,02:45,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
77,03:00,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
78,03:15,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
79,03:30,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
80,03:45,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
81,04:00,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
82,04:15,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
83,04:30,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
84,04:45,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
85,05:00,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
86,05:15,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
87,05:30,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
88,05:45,1.9963021378680215,0.0,1.901592026803141,0.0,2.0291491474570704,0.0
89,06:00,1.9963021378680215,0.0,1.9015920268007471,0.0,2.0291491474536,0.0
90,06:15,1.9963021378680215,0.0,1.9015920268031405,0.0,2.029149147457085,0.0
91,06:30,1.9963021378680215,0.0,1.9015920268031405,0.0,2.0291491474570256,0.0
92,06:45,1.9963021378680215,0.0,1.9015920268031405,0.0,2.0291491474570558,0.0
93,07:00,1.9963021378680215,0.0,1.9015920268031405,0.0,2.029149147457086,0.0
94,07:15,1.9963021378680215,0.0,1.9015920268031403,0.0,2.029149147457114,0.0
95,07:30,1.9963021378680215,0.0,1.9015920268031405,0.0,2.0291491474571166,0.0
96,07:45,1.9963021378680423,0.0,1.9015920268031408,0.0,2.0291491474570553,0.0
