Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0
3,08:30,247.5,250.0,50.0
4,08:45,247.5,250.0,50.0
5,09:00,247.5,250.0,50.0
6,09:15,245.39473684210526,250.0,50.0
7,09:30,245.39473684210526,250.0,50.0
8,09:45,245.39473684210526,250.0,50.0
9,10:00,245.39473684210526,250.0,50.0
10,10:15,245.39473684210526,250.0,50.0
11,10:30,243.28947368421052,250.0,50.0
12,10:45,243.28947368421055,250.0,50.0
13,11:00,243.28947368421055,250.0,50.0
14,11:15,243.28947368421055,250.0,50.0
15,11:30,241.1842105263158,250.0,50.0
16,11:45,241.1842105263158,250.0,50.0
17,12:00,241.1842105263158,250.0,50.0
18,12:15,241.1842105263158,250.0,50.0
19,12:30,241.1842105263158,250.0,50.0
20,12:45,241.1842105263158,250.0,50.0
21,13:00,239.07894736842107,250.0,50.0
22,13:15,239.07894736842107,250.0,50.0
23,13:30,236.97368421052633,250.0,50.0
24,13:45,234.8684210526316,250.0,50.0
25,14:00,232.76315789473685,250.0,50.0
26,14:15,232.76315789473685,250.0,50.0
27,14:30,232.76315789473685,250.0,50.0
28,14:45,232.76315789473685,250.0,50.0
29,15:00,232.76315789473685,250.0,50.0
30,15:15,230.6578947368421,250.0,50.0
31,15:30,230.6578947368421,250.0,50.0
32,15:45,230.6578947368421,250.0,50.0
33,16:00,230.6578947368421,250.0,50.0
34,16:15,228.55263157894737,250.0,50.0
35,16:30,228.5526315789474,250.0,50.0
36,16:45,228.5526315789474,250.0,50.0
37,17:00,226.44736842105266,250.0,50.0
38,17:15,224.34210526315792,250.0,50.0
39,17:30,222.44120819448977,250.0,50.0
40,17:45,219.94120819448975,250.0,50.0
41,18:00,219.94120819448975,250.0,50.0
42,18:15,219.94120819448975,250.0,50.0
43,18:30,219.94120819448975,250.0,50.0
44,18:45,219.94120819448975,250.0,50.0
45,19:00,219.94120819448975,250.0,50.0
46,19:15,219.94120819448975,250.0,50.0
47,19:30,219.94120819448975,250.0,50.0
48,19:45,219.94120819448975,250.0,50.0
49,20:00,219.94120819448975,250.0,50.0
50,20:15,219.94120819448975,250.0,50.0
51,20:30,219.94120819448975,250.0,50.0
52,20:45,219.94120819448975,250.0,50.0
53,21:00,219.94120819448975,250.0,50.0
54,21:15,220.6243625537059,250.0,50.0
55,21:30,221.30751691292204,250.0,50.0
56,21:45,221.99067127213817,250.0,50.0
57,22:00,222.67382563135433,250.0,50.0
58,22:15,223.35697999057047,250.0,50.0
59,22:30,224.0401343497866,250.0,50.0
60,22:45,224.72328870900276,250.0,50.0
61,23:00,225.4064430682189,250.0,50.0
62,23:15,226.08959742743502,250.0,50.0
63,23:30,226.77275178665118,250.0,50.0
64,23:45,227.45590614586732,250.0,50.0
65,00:00,228.13906050508314,250.0,50.0
66,00:15,228.82221486429927,250.0,50.0
67,00:30,229.5053692235154,250.0,50.0
68,00:45,230.18852358273156,250.0,50.0
69,01:00,230.8716779419477,250.0,50.0
70,01:15,231.55483230116383,250.0,50.0
71,01:30,232.23798666038,250.0,50.0
72,01:45,232.92114101959612,250.0,50.0
73,02:00,233.60429537881225,250.0,50.0
74,02:15,234.2874497380284,250.0,50.0
75,02:30,234.97060409724455,250.0,50.0
76,02:45,235.65375845646068,250.0,50.0
77,03:00,236.33691281567684,250.0,50.0
78,03:15,237.02006717489297,250.0,50.0
79,03:30,237.7032215341091,250.0,50.0
80,03:45,238.38637589332527,250.0,50.0
81,04:00,239.0695302525414,250.0,50.0
82,04:15,239.75268461175753,250.0,50.0
83,04:30,240.4358389709737,250.0,50.0
84,04:45,241.11899333018982,250.0,50.0
85,05:00,241.80214768940596,250.0,50.0
86,05:15,242.48530204862212,250.0,50.0
87,05:30,243.16845640783825,250.0,50.0
88,05:45,243.85161076705438,250.0,50.0
89,06:00,244.53476512627054,250.0,50.0
90,06:15,245.2179194854869,250.0,50.0
91,06:30,245.9010738447018,250.0,50.0
92,06:45,246.5842282039182,250.0,50.0
93,07:00,247.26738256313453,250.0,50.0
94,07:15,247.9505369223509,250.0,50.0
95,07:30,248.63369128156725,250.0,50.0
96,07:45,249.3168456407836,250.0,50.0
97,08:00,250.0,250.0,50.0
