Time_Period,Clock,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A1R_cum_kWh
43,18:30,0.0,24.007108134405534,0.0,Idle,Traveling,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
44,18:45,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
45,19:00,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
46,19:15,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
47,19:30,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
48,19:45,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
49,20:00,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
50,20:15,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
51,20:30,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
52,20:45,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Idle,-0.06151362381543635
53,21:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
54,21:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
55,21:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
56,21:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
57,22:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
58,22:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
59,22:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
60,22:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
61,23:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
62,23:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
63,23:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
64,23:45,0.0,24.007108134405534,0.0,Idle,Idle,0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
65,00:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
66,00:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
67,00:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
68,00:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
69,01:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
70,01:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
71,01:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
72,01:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
73,02:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
74,02:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
75,02:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
76,02:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
77,03:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
78,03:15,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
79,03:30,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
80,03:45,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
81,04:00,0.0,24.007108134405534,0.0,Idle,Charging (grid),0.0,23.945594510590098,0.0,Idle,Charging (grid),-0.06151362381543635
