VIN,Machine name,Event time,Event time_PT,SoC
JCB8GFB1PP3248768,11009663,22/10/2025 12:50:22,,43
JCB8GFB1PP3248768,11009663,22/10/2025 12:50:41,,43
JCB8GFB1PP3248768,11009663,22/10/2025 12:51:45,,43
JCB8GFB1PP3248768,11009663,22/10/2025 13:00:08,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:00:09,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:22:35,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:22:39,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:22:54,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:22:59,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:23:44,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:23:59,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:24:03,,42
JCB8GFB1PP3248768,11009663,22/10/2025 13:32:34,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:32:36,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:55:05,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:55:09,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:55:10,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:55:24,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:55:29,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:56:15,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:56:28,,41
JCB8GFB1PP3248768,11009663,22/10/2025 13:56:33,,41
JCB8GFB1PP3248768,11009663,22/10/2025 14:01:00,,41
JCB8GFB1PP3248768,11009663,22/10/2025 14:01:01,,41
JCB8GFB1PP3248768,11009663,22/10/2025 14:01:37,,41
JCB8GFB1PP3248768,11009663,22/10/2025 14:01:42,,41
JCB8GFB1PP3248768,11009663,22/10/2025 14:02:01,,41
JCB8GFB1PP3248768,11009663,22/10/2025 14:03:05,,41
JCB8GFB1PP3248768,11009663,22/10/2025 14:16:36,,36
JCB8GFB1PP3248768,11009663,22/10/2025 14:19:21,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:19:23,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:42:03,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:42:05,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:42:06,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:42:22,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:42:25,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:43:15,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:43:24,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:43:31,,35
JCB8GFB1PP3248768,11009663,22/10/2025 14:49:42,,32
JCB8GFB1PP3248768,11009663,22/10/2025 14:49:44,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:16:51,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:16:55,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:17:10,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:17:15,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:17:52,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:18:15,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:18:19,,32
JCB8GFB1PP3248768,11009663,22/10/2025 15:31:51,,29
JCB8GFB1PP3248768,11009663,22/10/2025 15:46:51,,25
JCB8GFB1PP3248768,11009663,22/10/2025 16:01:51,,20
JCB8GFB1PP3248768,11009663,22/10/2025 16:06:48,,18
JCB8GFB1PP3248768,11009663,22/10/2025 16:06:49,,18
JCB8GFB1PP3248768,11009663,22/10/2025 16:16:26,,18
JCB8GFB1PP3248768,11009663,22/10/2025 16:16:45,,18
JCB8GFB1PP3248768,11009663,22/10/2025 16:17:07,,18
JCB8GFB1PP3248768,11009663,22/10/2025 16:17:49,,18
JCB8GFB1PP3248768,11009663,22/10/2025 16:30:56,,15
JCB8GFB1PP3248768,11009663,22/10/2025 16:30:58,,15
JCB8GFB1PP3248768,11009663,22/10/2025 16:31:02,,15
JCB8GFB1PP3248768,11009663,22/10/2025 16:46:01,,17
JCB8GFB1PP3248768,11009663,22/10/2025 17:19:08,,20
JCB8GFB1PP3248768,11009663,22/10/2025 17:19:09,,20
JCB8GFB1PP3248768,11009663,22/10/2025 17:19:28,,20
JCB8GFB1PP3248768,11009663,22/10/2025 17:20:16,,20
JCB8GFB1PP3248768,11009663,22/10/2025 17:23:49,,22
JCB8GFB1PP3248768,11009663,22/10/2025 17:23:50,,20
JCB8GFB1PP3248768,11009663,22/10/2025 17:24:00,,20
JCB8GFB1PP3248768,11009663,22/10/2025 17:27:04,,20
JCB8GFB1PP3248768,11009663,22/10/2025 17:38:59,,22
JCB8GFB1PP3248768,11009663,22/10/2025 18:37:13,,26
JCB8GFB1PP3248768,11009663,22/10/2025 18:37:28,,26
JCB8GFB1PP3248768,11009663,22/10/2025 18:37:48,,26
