VIN,Machine name,Event time,Event time_PT,SoC
JCB8GFB1PP3248768,11009663,22/10/2025 05:19:17,,90
JCB8GFB1PP3248768,11009663,22/10/2025 05:19:18,,90
JCB8GFB1PP3248768,11009663,22/10/2025 05:19:37,,90
JCB8GFB1PP3248768,11009663,22/10/2025 05:20:45,,90
JCB8GFB1PP3248768,11009663,22/10/2025 05:21:06,,90
JCB8GFB1PP3248768,11009663,22/10/2025 09:24:10,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:24:11,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:24:30,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:26:08,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:26:10,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:26:14,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:26:53,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:27:04,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:28:09,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:29:51,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:30:05,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:30:11,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:31:02,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:31:24,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:32:52,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:33:01,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:38:18,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:38:37,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:38:38,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:38:40,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:38:47,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:39:05,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:40:04,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:40:08,,100
JCB8GFB1PP3248768,11009663,22/10/2025 09:53:39,,99
JCB8GFB1PP3248768,11009663,22/10/2025 10:08:39,,96
JCB8GFB1PP3248768,11009663,22/10/2025 10:23:39,,91
JCB8GFB1PP3248768,11009663,22/10/2025 10:24:27,,90
JCB8GFB1PP3248768,11009663,22/10/2025 10:38:39,,85
JCB8GFB1PP3248768,11009663,22/10/2025 10:42:26,,84
JCB8GFB1PP3248768,11009663,22/10/2025 10:42:28,,84
JCB8GFB1PP3248768,11009663,22/10/2025 10:44:24,,84
JCB8GFB1PP3248768,11009663,22/10/2025 10:44:43,,84
JCB8GFB1PP3248768,11009663,22/10/2025 10:45:41,,84
JCB8GFB1PP3248768,11009663,22/10/2025 10:59:12,,79
JCB8GFB1PP3248768,11009663,22/10/2025 11:14:12,,72
JCB8GFB1PP3248768,11009663,22/10/2025 11:18:40,,71
JCB8GFB1PP3248768,11009663,22/10/2025 11:18:42,,71
JCB8GFB1PP3248768,11009663,22/10/2025 11:19:25,,71
JCB8GFB1PP3248768,11009663,22/10/2025 11:19:44,,71
JCB8GFB1PP3248768,11009663,22/10/2025 11:20:36,,71
JCB8GFB1PP3248768,11009663,22/10/2025 11:24:28,,70
JCB8GFB1PP3248768,11009663,22/10/2025 11:34:06,,66
JCB8GFB1PP3248768,11009663,22/10/2025 11:49:06,,59
JCB8GFB1PP3248768,11009663,22/10/2025 12:04:07,,52
JCB8GFB1PP3248768,11009663,22/10/2025 12:18:18,,46
JCB8GFB1PP3248768,11009663,22/10/2025 12:18:35,,46
JCB8GFB1PP3248768,11009663,22/10/2025 12:19:07,,46
JCB8GFB1PP3248768,11009663,22/10/2025 12:24:30,,45
JCB8GFB1PP3248768,11009663,22/10/2025 12:26:05,,44
JCB8GFB1PP3248768,11009663,22/10/2025 12:26:06,,44
JCB8GFB1PP3248768,11009663,22/10/2025 12:37:36,,45
JCB8GFB1PP3248768,11009663,22/10/2025 12:37:38,,44
JCB8GFB1PP3248768,11009663,22/10/2025 12:37:44,,44
JCB8GFB1PP3248768,11009663,22/10/2025 12:37:45,,44
JCB8GFB1PP3248768,11009663,22/10/2025 12:38:04,,44
JCB8GFB1PP3248768,11009663,22/10/2025 12:39:04,,44
JCB8GFB1PP3248768,11009663,22/10/2025 12:48:40,,43
JCB8GFB1PP3248768,11009663,22/10/2025 12:49:55,,43
