Metric,A1S,A2S
Total_Cost_USD,67.52,71.64
Total_Energy_Cost_USD,8.59,8.79
Total_CO2_Cost_USD,0.32,0.35
NC_demand_charge_USD,38.62,42.5
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,26.7,27.84
Total_CO2_Emissions_kg,6.37,6.91
NCD_Peak_kW,1.92,2.11
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,116.83,11279.21
