Metric,A1S,A2S
Total_Cost_USD,71.46,68.07
Total_Energy_Cost_USD,9.17,8.7
Total_CO2_Cost_USD,0.34,0.32
NC_demand_charge_USD,41.95,39.05
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,28.42,27.05
Total_CO2_Emissions_kg,6.82,6.44
NCD_Peak_kW,2.08,1.94
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,105.82,11509.58
