Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.458525000000002,13.630675
3,14.8,12.42375
4,13.566225000000001,14.095475
5,12.263775,12.7352
6,14.263774999999935,14.669475000001036
7,13.199224999999934,13.604925000001035
8,12.047575000000192,14.8
9,14.047575000000167,13.6456
10,12.878250000000167,13.078075
11,11.543525000000166,11.74335
12,10.470850000000166,10.548124999999999
13,9.347875000000165,10.426149999999998
14,9.341325000000165,9.231149999999998
15,8.402975000000165,8.069074999999998
16,7.122325000000165,6.946099999999998
17,5.926250000000165,5.585824999999998
18,5.926250000000165,5.585824999999998
19,5.926250000000165,5.585824999999998
20,5.926250000000165,5.585824999999998
21,5.926250000000165,5.585824999999998
22,5.926250000000165,5.585824999999998
23,5.926250000000165,7.585824999999998
24,7.926250000000166,9.585824999999998
25,9.150407894736833,11.501104827657347
26,8.009682894736834,10.378129827657347
27,7.364782894736834,9.017854827657347
28,8.970339058171747,7.874704827657347
29,7.808264058171748,6.406554827657347
30,6.527614058171748,8.289329827657347
31,5.882714058171748,7.055554827657348
32,5.182714058171748,6.455154827657347
33,6.85960452325412,8.455154827657347
34,6.24572952325412,7.705054827657348
35,4.98095452325412,6.541079827657348
36,3.9935295232541197,5.973554827657348
37,3.2593795232541196,5.032104827657348
38,5.25937952325412,7.032104827657348
39,5.3021379198287315,9.03210482765735
40,7.3021379198287315,11.03210482765735
41,9.30213791982873,13.03210482765735
42,11.089361162114278,14.8
43,13.089361162114278,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
