Time_Period,Clock,A1S_Charging_kW,A1S_Discharging_kW,A2S_Charging_kW,A2S_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0
2,08:15,0.0,5.036105263157896,0.0,0.0
3,08:30,0.0,2.0758458572518528e-13,0.0,0.0
4,08:45,0.0,0.0,0.0,8.0
5,09:00,0.0,-1.5916157281025567e-13,0.0,0.0
6,09:15,0.0,0.0,0.0,7.9999999999976685
7,09:30,0.0,7.511468144044268,0.0,0.0
8,09:45,0.0,7.99999999997026,0.0,7.803288140234324
9,10:00,0.0,0.0,0.0,0.0
10,10:15,0.0,0.0,0.0,0.0
11,10:30,0.0,0.0,0.0,0.0
12,10:45,0.0,7.999999999999979,0.0,8.0
13,11:00,0.0,0.0,0.0,0.0
14,11:15,0.0,0.0,0.0,0.0
15,11:30,0.0,0.0,1.8244446282831626,0.0
16,11:45,0.0,0.0,1.8244446282831626,0.0
17,12:00,0.0,7.104659571397422,1.8244446282831626,0.0
18,12:15,0.0,7.626070548873823,1.8499586380611028,0.0
19,12:30,0.0,0.0,1.8499586380611028,0.0
20,12:45,1.9220864342380832,0.0,1.8499586380611028,0.0
21,13:00,1.9220864342380832,0.0,1.8499586380611026,0.0
22,13:15,1.9220864342380832,0.0,1.8499586380611066,0.0
23,13:30,1.9220864342380828,0.0,0.0,0.0
24,13:45,1.9220864342380832,0.0,0.0,8.0
25,14:00,1.9220864342380832,0.0,0.0,0.0
26,14:15,1.9276849179820714,0.0,0.0,0.0
27,14:30,1.9291288602477081,0.0,0.0,0.0
28,14:45,1.9291288602477081,0.0,0.0,0.0
29,15:00,1.93918620582772,0.0,0.0,8.0
30,15:15,1.9880083759557434,0.0,0.0,0.0
31,15:30,1.9880083759557434,0.0,0.0,0.0
32,15:45,1.9880083759557434,0.0,0.0,0.0
33,16:00,0.0,0.0,0.0,8.0
34,16:15,0.0,8.0,0.0,0.0
35,16:30,0.0,0.0,0.0,0.0
36,16:45,0.0,0.0,0.0,0.0
37,17:00,0.0,0.6342068132171619,0.0,8.0
38,17:15,0.0,8.0,0.0,8.0
39,17:30,0.0,8.0,0.0,8.0
40,17:45,0.0,8.0,0.0,8.0
41,18:00,0.0,8.0,0.0,4.948012483966319
42,18:15,0.0,8.0,0.0,0.0
43,18:30,0.0,5.861357536146467,0.0,0.0
44,18:45,0.0,0.0,-0.0,0.0
45,19:00,0.0,0.0,-0.0,0.0
46,19:15,0.0,0.0,-0.0,0.0
47,19:30,0.0,0.0,-0.0,0.0
48,19:45,0.0,0.0,-0.0,0.0
49,20:00,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,0.0,-0.0,0.0
52,20:45,0.0,0.0,0.0,0.0
53,21:00,1.9880083759557434,0.0,2.001099935504173,0.0
54,21:15,1.9880083759557434,0.0,2.001099935504173,0.0
55,21:30,1.9880083759557434,0.0,2.001099935504173,0.0
56,21:45,1.9880083759557434,0.0,2.001099935504173,0.0
57,22:00,1.9880083759557434,0.0,2.001099935504173,0.0
58,22:15,1.9880083759557434,0.0,2.001099935504173,0.0
59,22:30,1.9880083759557434,0.0,2.001099935504173,0.0
60,22:45,1.9880083759557434,0.0,2.001099935504173,0.0
61,23:00,0.0,0.0,2.001099935504173,0.0
62,23:15,1.9880083759557434,0.0,2.001099935504173,0.0
63,23:30,1.6066797165871316,0.0,2.001099935504173,0.0
64,23:45,0.0,0.0,2.0010999355037367,0.0
65,00:00,1.9880083759557434,0.0,2.001099935504173,0.0
66,00:15,1.9880083759557434,0.0,2.001099935504173,0.0
67,00:30,1.9880083759557434,0.0,2.001099935504173,0.0
68,00:45,1.9880083759557434,0.0,2.001099935504173,0.0
69,01:00,1.9880083759557434,0.0,2.001099935504173,0.0
70,01:15,1.9880083759557434,0.0,2.001099935504173,0.0
71,01:30,1.9880083759557434,0.0,2.001099935504173,0.0
72,01:45,1.9880083759557434,0.0,2.001099935504173,0.0
73,02:00,1.9880083759557434,0.0,2.001099935504173,0.0
74,02:15,1.9880083759557434,0.0,2.001099935504173,0.0
75,02:30,1.9880083759557434,0.0,2.001099935504173,0.0
76,02:45,1.9880083759557434,0.0,2.001099935504173,0.0
77,03:00,1.9880083759557434,0.0,2.001099935504173,0.0
78,03:15,1.9880083759557434,0.0,2.001099935504173,0.0
79,03:30,1.9880083759557434,0.0,2.001099935504173,0.0
80,03:45,1.9880083759557434,0.0,2.001099935504173,0.0
81,04:00,1.9880083759557434,0.0,2.001099935504173,0.0
82,04:15,1.9880083759557434,0.0,2.001099935504173,0.0
83,04:30,1.9880083759557434,0.0,2.001099935504173,0.0
84,04:45,1.9880083759557434,0.0,2.001099935504173,0.0
85,05:00,1.9880083759557434,0.0,2.001099935504173,0.0
86,05:15,1.9880083759557434,0.0,2.001099935504173,0.0
87,05:30,1.9880083759557434,0.0,2.001099935504173,0.0
88,05:45,1.9880083759557434,0.0,2.001099935504173,0.0
89,06:00,1.9880083759546856,0.0,2.0010999355032806,0.0
90,06:15,1.988008375955716,0.0,2.0010999355042003,0.0
91,06:30,1.9880083759557887,0.0,2.0010999355040284,0.0
92,06:45,1.9880083759555591,0.0,2.0010999355042567,0.0
93,07:00,1.9880083759557967,0.0,2.0010999355040755,0.0
94,07:15,1.9880083759557787,0.0,2.0010999355042403,0.0
95,07:30,1.988008375955785,0.0,2.001099935504286,0.0
96,07:45,1.988008375955791,0.0,2.0010999355042114,0.0
