Time_Period,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_per_kWh
1,0.387,0.184844771
2,0.387,0.18748346
3,0.387,0.187221003
4,0.387,0.174390042
5,0.387,0.169646374
6,0.387,0.179379949
7,0.387,0.173308146
8,0.387,0.169005444
9,0.261,0.166717776
10,0.261,0.171203448
11,0.261,0.169740242
12,0.261,0.157205795
13,0.261,0.156127377
14,0.261,0.158874986
15,0.261,0.155246426
16,0.261,0.147787556
17,0.261,0.142853662
18,0.261,0.150148781
19,0.261,0.142166138
20,0.261,0.134292064
21,0.261,0.126533506
22,0.261,0.136996378
23,0.261,0.130425591
24,0.261,0.124229477
25,0.387,0.120622693
26,0.387,0.126193867
27,0.387,0.126695016
28,0.387,0.123729362
29,0.387,0.125497949
30,0.387,0.132440012
31,0.387,0.128745287
32,0.387,0.12752758
33,0.627,0.130457634
34,0.627,0.129548016
35,0.627,0.132261205
36,0.627,0.134973404
37,0.627,0.14154539
38,0.627,0.160302751
39,0.627,0.166092752
40,0.627,0.162902898
41,0.627,0.164653432
42,0.627,0.161500774
43,0.627,0.16070126
44,0.627,0.166316509
45,0.627,0.170954975
46,0.627,0.182877191
47,0.627,0.191482601
48,0.627,0.20251508
49,0.387,0.210075598
50,0.387,0.205244566
51,0.387,0.205935973
52,0.387,0.208513631
53,0.387,0.218080938
54,0.387,0.21907319
55,0.387,0.223669117
56,0.387,0.237339
57,0.387,0.24652626
58,0.387,0.266755136
59,0.387,0.281316832
60,0.387,0.288058009
61,0.387,0.293576081
62,0.387,0.287515883
63,0.387,0.292663909
64,0.387,0.304429741
65,0.261,0.312407382
66,0.261,0.27458893
67,0.261,0.276681872
68,0.261,0.276716347
69,0.261,0.274507571
70,0.261,0.278281819
71,0.261,0.281500364
72,0.261,0.281866624
73,0.261,0.280588542
74,0.261,0.281072036
75,0.261,0.284023345
76,0.261,0.282971365
77,0.261,0.284195843
78,0.261,0.288293331
79,0.261,0.29093524
80,0.261,0.292181712
81,0.261,0.290687728
82,0.261,0.280336211
83,0.261,0.27995689
84,0.261,0.279516539
85,0.261,0.282027184
86,0.261,0.277843602
87,0.261,0.280894886
88,0.261,0.283205714
89,0.387,0.284037684
90,0.387,0.275596562
91,0.387,0.271416987
92,0.387,0.264663433
93,0.387,0.255885549
94,0.387,0.232169857
95,0.387,0.217048995
96,0.387,0.2000768
