Metric,Value
Total_Cost_USD,193.38
Total_Energy_Cost_USD,10.07
Total_CO2_Cost_USD,0.43
NC_demand_charge_USD,57.87
OP_demand_charge_USD,0.0
Missed_Work_Penalty_USD,0.0
Travel_Labour_USD,125.0
Total_Grid_Energy_kWh,31.64
Total_CO2_Emissions_kg,8.6
NCD_Peak_kW,2.88
OPD_Peak_kW,0.0
Missed_Work_hour,0.0
MCS_Transit_hour,0.5
Infeasible_windows,0
MPC_loop_time_s,45.74
