#################### C01_baseline_1cev ####################
  #      Clock  CEV1 || MCS
 12      D1 10:45 Traveling | Traveling || Idle
 13      D1 11:00 Digging | Idle || Idle
 14      D1 11:15 Charging | Loading/Swinging || Serving CEV
 15      D1 11:30 Loading/Swinging | Loading/Swinging || Idle
 16      D1 11:45 Digging | Idle || Idle
 17      D1 12:00 Charging | Idle || Serving CEV
 18-23   D1 12:15 Idle | Idle || Idle
 24      D1 13:45 Charging | Charging || Serving CEV
 25      D1 14:00 Idle | Loading/Swinging || Idle
 26      D1 14:15 Loading/Swinging | Charging || Serving CEV
 27-28   D1 14:30 Idle | Idle || Idle
 29      D1 15:00 Charging | Charging || Serving CEV
 30      D1 15:15 Charging | Loading/Swinging || Serving CEV
 31      D1 15:30 Idle | Idle || Idle
 32      D1 15:45 Traveling | Idle || Idle
 33      D1 16:00 Idle | Traveling || Idle
 34      D1 16:15 Charging | Idle || Serving CEV
 35      D1 16:30 Idle | Idle || Idle
 36-37   D1 16:45 Idle | Charging || Serving CEV
 38      D1 17:15 Charging | Charging || Serving CEV
 39      D1 17:30 Idle | Idle || Traveling
 40      D1 17:45 Idle | Idle || Idle

#################### C05_heavy_work_low_batt ####################
  #      Clock  CEV1 || MCS
  1      D1 08:00 Digging || Traveling
  2-4    D1 08:15 Digging || Idle
  5      D1 09:00 Charging || Serving CEV
  6      D1 09:15 Traveling || Idle
  7-9    D1 09:30 Digging || Idle
 10      D1 10:15 Charging || Serving CEV
 11      D1 10:30 Loading/Swinging || Idle
 12      D1 10:45 Traveling || Idle
 13      D1 11:00 Digging || Idle
 14      D1 11:15 Idle || Idle
 15-16   D1 11:30 Digging || Idle
 17-23   D1 12:00 Idle || Idle
 24      D1 13:45 Charging || Serving CEV
 25      D1 14:00 Digging || Idle
 26      D1 14:15 Traveling || Idle
 27      D1 14:30 Loading/Swinging || Idle
 28      D1 14:45 Charging || Serving CEV
 29-31   D1 15:00 Loading/Swinging || Idle
 32      D1 15:45 Traveling || Idle
 33      D1 16:00 Charging || Serving CEV
 34      D1 16:15 Digging || Idle
 35-36   D1 16:30 Loading/Swinging || Idle
 37-38   D1 17:00 Charging || Serving CEV
 39      D1 17:30 Idle || Traveling
 40      D1 17:45 Idle || Idle

#################### C06_tiny_battery_shuttle ####################
  #      Clock  CEV1 | CEV2 || MCS
  1      D1 08:00 Digging | Digging || Idle
  2      D1 08:15 Digging | Digging || Traveling
  3-4    D1 08:30 Digging | Digging || Idle
  5      D1 09:00 Charging | Idle || Serving CEV
  6      D1 09:15 Traveling | Traveling || Traveling
  7      D1 09:30 Digging | Charging || Serving CEV
  8      D1 09:45 Digging | Digging || Traveling
  9      D1 10:00 Charging | Digging || Serving CEV
 10      D1 10:15 Digging | Digging || Traveling
 11      D1 10:30 Digging | Digging || Idle
 12      D1 10:45 Traveling | Charging || Serving CEV
 13      D1 11:00 Digging | Traveling || Idle
 14      D1 11:15 Idle | Digging || Traveling
 15      D1 11:30 Digging | Idle || Idle
 16      D1 11:45 Digging | Digging || Idle
 17      D1 12:00 Idle | Idle || Idle
 18-20   D1 12:15 Charging | Idle || Serving CEV
 21      D1 13:00 Idle | Idle || Traveling
 22-24   D1 13:15 Idle | Charging || Serving CEV
 25      D1 14:00 Digging | Digging || Idle
 26      D1 14:15 Traveling | Digging || Idle
 27      D1 14:30 Loading/Swinging | Traveling || Traveling
 28      D1 14:45 Loading/Swinging | Loading/Swinging || Idle
 29      D1 15:00 Charging | Idle || Serving CEV
 30-31   D1 15:15 Loading/Swinging | Loading/Swinging || Idle
 32      D1 15:45 Charging | Loading/Swinging || Serving CEV
 33      D1 16:00 Traveling | Traveling || Traveling
 34-35   D1 16:15 Loading/Swinging | Charging || Serving CEV
 36      D1 16:45 Idle | Loading/Swinging || Idle
 37-38   D1 17:00 Idle | Charging || Serving CEV
 39      D1 17:30 Idle | Idle || Traveling
