Time_Period,Clock,Site_2_A1S_kW,Site_2_A2S_kW
172,02:45,0.0,0.0
173,03:00,0.0,0.0
174,03:15,0.0,0.0
175,03:30,0.0,0.0
176,03:45,0.0,0.0
177,04:00,0.0,0.0
178,04:15,0.0,0.0
179,04:30,0.0,0.0
180,04:45,0.0,0.0
181,05:00,0.0,0.0
182,05:15,0.0,0.0
183,05:30,0.0,0.0
184,05:45,0.0,0.0
185,06:00,0.0,0.0
186,06:15,0.0,0.0
187,06:30,0.0,0.0
188,06:45,0.0,0.0
189,07:00,0.0,0.0
190,07:15,0.0,0.0
191,07:30,0.0,0.0
192,07:45,0.0,0.0
193,08:00,5.177358945738894,4.787353554569606
194,08:15,4.787353554569606,5.177358945738894
195,08:30,0.0,4.8974422281432695
196,08:45,4.8974422281432695,4.774856335185797
197,09:00,4.774856335185797,0.0
198,09:15,4.662678101657749,3.104104964017523
199,09:30,0.0,4.80165891445176
200,09:45,4.593012358412142,4.662678101657749
201,10:00,4.80165891445176,4.593012358412142
202,10:15,4.729730353667381,0.0
203,10:30,5.225645028583185,4.729730353667381
204,10:45,0.0,5.225645028583185
205,11:00,5.1404873631928725,4.600513060064331
206,11:15,4.951000221382643,0.0
207,11:30,4.600513060064331,5.1404873631928725
208,11:45,4.90121100544032,4.951000221382643
209,12:00,0.0,0.0
210,12:15,0.0,0.0
211,12:30,0.0,0.0
212,12:45,0.0,0.0
213,13:00,0.0,0.0
214,13:15,0.0,0.0
215,13:30,0.0,0.0
216,13:45,0.0,0.0
217,14:00,4.656383184529006,4.90121100544032
218,14:15,3.1570899444442255,4.656383184529006
219,14:30,3.104104964017523,4.346207480444135
220,14:45,4.346207480444135,3.3448831912534587
221,15:00,0.0,0.0
222,15:15,3.3448831912534587,3.001505034253945
223,15:30,3.001505034253945,4.706854770353012
224,15:45,2.9817564520367075,0.0
225,16:00,3.198892840258661,2.9817564520367075
226,16:15,0.0,4.428310353478808
227,16:30,4.428310353478808,3.198892840258661
228,16:45,3.364197800786562,3.364197800786562
229,17:00,0.0,0.0
230,17:15,0.0,0.0
231,17:30,0.0,0.0
232,17:45,0.0,0.0
233,18:00,0.0,0.0
234,18:15,0.0,0.0
235,18:30,0.0,0.0
236,18:45,0.0,0.0
237,19:00,0.0,0.0
238,19:15,0.0,0.0
239,19:30,0.0,0.0
240,19:45,0.0,0.0
241,20:00,0.0,0.0
242,20:15,0.0,0.0
243,20:30,0.0,0.0
244,20:45,0.0,0.0
245,21:00,0.0,0.0
246,21:15,0.0,0.0
247,21:30,0.0,0.0
248,21:45,0.0,0.0
249,22:00,0.0,0.0
250,22:15,0.0,0.0
251,22:30,0.0,0.0
252,22:45,0.0,0.0
253,23:00,0.0,0.0
254,23:15,0.0,0.0
255,23:30,0.0,0.0
256,23:45,0.0,0.0
257,00:00,0.0,0.0
258,00:15,0.0,0.0
259,00:30,0.0,0.0
260,00:45,0.0,0.0
261,01:00,0.0,0.0
262,01:15,0.0,0.0
263,01:30,0.0,0.0
264,01:45,0.0,0.0
265,02:00,0.0,0.0
266,02:15,0.0,0.0
267,02:30,0.0,0.0
268,02:45,0.0,0.0
269,03:00,0.0,0.0
270,03:15,0.0,0.0
271,03:30,0.0,0.0
272,03:45,0.0,0.0
273,04:00,0.0,0.0
274,04:15,0.0,0.0
275,04:30,0.0,0.0
276,04:45,0.0,0.0
277,05:00,0.0,0.0
278,05:15,0.0,0.0
279,05:30,0.0,0.0
280,05:45,0.0,0.0
281,06:00,0.0,0.0
282,06:15,0.0,0.0
283,06:30,0.0,0.0
284,06:45,0.0,0.0
285,07:00,0.0,0.0
286,07:15,0.0,0.0
287,07:30,0.0,0.0
288,07:45,0.0,0.0
289,08:00,4.706854770353012,4.638635414166071
290,08:15,4.638635414166071,4.973281208561414
291,08:30,0.0,4.808352268614102
292,08:45,4.973281208561414,5.087655972447932
293,09:00,4.808352268614102,0.0
