Metric,A1S,A2S
Total_Cost_USD,68.18,73.15
Total_Energy_Cost_USD,8.27,8.82
Total_CO2_Cost_USD,0.33,0.35
NC_demand_charge_USD,39.58,43.98
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,27.13,27.84
Total_CO2_Emissions_kg,6.65,7.02
NCD_Peak_kW,1.97,2.19
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,89.0,11405.05
