Metric,A1S,A2S
Total_Cost_USD,70.52,67.78
Total_Energy_Cost_USD,8.81,8.68
Total_CO2_Cost_USD,0.33,0.32
NC_demand_charge_USD,41.39,38.78
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,27.46,26.97
Total_CO2_Emissions_kg,6.54,6.42
NCD_Peak_kW,2.06,1.93
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,133.12,11065.23
