Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.3278288233317745,Digging,Traveling,0.0,0.0,4.3278288233317745,Digging,Idle,0.0
2,08:15,0.0,0.0,4.322149008793972,Digging,Idle,0.0,0.0,4.322149008793972,Digging,Traveling,0.0
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,2.220446049250313e-16
4,08:45,0.0,1.9999999999999998,4.313396993516716,Digging,Idle,0.0,2.0,4.313396993516716,Digging,Idle,2.220446049250313e-16
5,09:00,0.0,1.9999999999999998,4.341484847374316,Digging,Idle,0.0,2.0,4.341484847374316,Digging,Idle,2.220446049250313e-16
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,2.0,3.9204152686098195,Traveling,Idle,-2.0
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,0.0,2.0,4.359487800494295,Digging,Idle,-3.044736842105287
8,09:45,0.0,5.044736842105287,3.9204152686098195,Traveling,Idle,8.0,4.0,0.0,Charging,Serving CEV,-1.0447368421052872
9,10:00,0.0,5.044736842105287,2.782703282807287,Loading/Swinging,Idle,0.0,4.0,4.201532430320169,Digging,Idle,-1.0447368421052872
10,10:15,0.0,5.044736842105287,4.359487800494295,Digging,Idle,0.0,4.0,4.2812635594936355,Digging,Idle,-1.0447368421052872
11,10:30,0.0,5.044736842105287,4.201532430320169,Digging,Idle,8.0,6.0,0.0,Charging,Serving CEV,0.9552631578947128
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,8.0,8.0,0.0,Charging,Serving CEV,0.9552631578947128
13,11:00,0.0,7.044736842105287,4.2812635594936355,Digging,Idle,0.0,8.0,4.221209231158144,Digging,Traveling,0.9552631578947128
14,11:15,0.0,7.044736842105287,3.86617050967792,Traveling,Idle,0.0,8.0,3.86617050967792,Traveling,Charging (grid),0.9552631578947128
15,11:30,0.0,7.044736842105287,4.221209231158144,Digging,Idle,0.0,8.0,4.232047346004744,Digging,Charging (grid),0.9552631578947128
16,11:45,0.0,7.044736842105287,4.232047346004744,Digging,Idle,0.0,8.0,4.266288430947524,Digging,Charging (grid),0.9552631578947128
17,12:00,8.0,9.044736842105287,0.0,Charging,Serving CEV,0.0,8.0,0.0,,Charging (grid),-1.0447368421052872
18,12:15,8.0,11.044736842105287,0.0,Charging,Serving CEV,0.0,8.0,0.0,,Charging (grid),-3.044736842105287
19,12:30,0.0,11.044736842105287,0.0,,Traveling,0.0,8.0,0.0,,Charging (grid),-3.044736842105287
20,12:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.044736842105287
21,13:00,0.0,11.044736842105287,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.044736842105287
22,13:15,0.0,11.044736842105287,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.044736842105287
23,13:30,0.0,11.044736842105287,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.044736842105287
24,13:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.044736842105287
